plate_map_name	well_position	broad_sample	mg_per_ml	mmoles_per_liter	solvent
C-7210-01-CMP-013	A01	BRD-A86665761-001-01-1	1.6469434999999997	5.0	DMSO
C-7210-01-CMP-013	A02				DMSO
C-7210-01-CMP-013	A03	BRD-A22032524-074-09-9	2.835255	5.0	DMSO
C-7210-01-CMP-013	A04	BRD-A01078468-001-14-8	1.3518305000000002	5.0	DMSO
C-7210-01-CMP-013	A05	BRD-K48278478-001-01-2	1.622084	5.0	DMSO
C-7210-01-CMP-013	A06	BRD-K36574127-001-01-3	2.142176	5.0	DMSO
C-7210-01-CMP-013	A07	BRD-K74913225-001-14-0	1.917535	5.0	DMSO
C-7210-01-CMP-013	A08	BRD-K94342292-001-01-3	2.55621	5.0	DMSO
C-7210-01-CMP-013	A09				DMSO
C-7210-01-CMP-013	A10	BRD-K19975102-001-01-2	2.6774615	5.0	DMSO
C-7210-01-CMP-013	A11	BRD-K25244359-066-02-6	2.46789	5.0	DMSO
C-7210-01-CMP-013	A12	BRD-K18131774-001-18-4	1.291585	5.0	DMSO
C-7210-01-CMP-013	A13	BRD-A85242401-001-11-5	0.8806205	5.0	DMSO
C-7210-01-CMP-013	A14	BRD-K06426971-001-02-7	1.421665	5.0	DMSO
C-7210-01-CMP-013	A15	BRD-K47049295-300-03-1	2.53254	5.0	DMSO
C-7210-01-CMP-013	A16	BRD-K78122587-300-04-3	2.82281	5.0	DMSO
C-7210-01-CMP-013	A17				DMSO
C-7210-01-CMP-013	A18	BRD-K50199947-001-03-4	2.84333	5.0	DMSO
C-7210-01-CMP-013	A19	BRD-K50720187-051-03-1	2.101958	5.0	DMSO
C-7210-01-CMP-013	A20	BRD-K91825936-001-03-9	2.17446	5.0	DMSO
C-7210-01-CMP-013	A21	BRD-K38775274-001-22-1	1.9623055	5.0	DMSO
C-7210-01-CMP-013	A22	BRD-K47598052-001-14-1	1.406778	5.0	DMSO
C-7210-01-CMP-013	A23	BRD-K61845293-300-01-9	3.127545	5.0	DMSO
C-7210-01-CMP-013	A24	BRD-K87782578-001-01-4	2.117201	5.0	DMSO
C-7210-01-CMP-013	B01	BRD-K26439554-001-01-3	2.021646	5.0	DMSO
C-7210-01-CMP-013	B02	BRD-K58049875-001-03-9	8.324434999999998	5.0	DMSO
C-7210-01-CMP-013	B03				DMSO
C-7210-01-CMP-013	B04	BRD-K72726508-001-02-1	1.626601	5.0	DMSO
C-7210-01-CMP-013	B05	BRD-K29151923-001-01-5	1.7269725	5.0	DMSO
C-7210-01-CMP-013	B06	BRD-K66788707-001-14-3	1.426159	5.0	DMSO
C-7210-01-CMP-013	B07	BRD-K06890060-001-09-1	1.620795	5.0	DMSO
C-7210-01-CMP-013	B08	BRD-K50398167-236-22-7	1.5956899999999996	5.0	DMSO
C-7210-01-CMP-013	B09	BRD-K87632963-001-03-0	2.091846	5.0	DMSO
C-7210-01-CMP-013	B10	BRD-K37602296-001-01-6	1.15518	5.0	DMSO
C-7210-01-CMP-013	B11	BRD-K09143580-001-01-0	2.186755	5.0	DMSO
C-7210-01-CMP-013	B12	BRD-A22713669-001-04-3	1.20621	5.0	DMSO
C-7210-01-CMP-013	B13	BRD-K16472653-001-01-6	2.10275	5.0	DMSO
C-7210-01-CMP-013	B14				DMSO
C-7210-01-CMP-013	B15	BRD-K34581968-001-05-3	2.399795	5.0	DMSO
C-7210-01-CMP-013	B16	BRD-K81801188-001-02-8	1.596819	5.0	DMSO
C-7210-01-CMP-013	B17	BRD-K73276278-305-01-1	2.590025	5.0	DMSO
C-7210-01-CMP-013	B18	BRD-K53061490-003-13-9	1.32354	5.0	DMSO
C-7210-01-CMP-013	B19	BRD-A43005764-003-01-5	2.229695	5.0	DMSO
C-7210-01-CMP-013	B20	BRD-K60659193-001-01-0	2.327375	5.0	DMSO
C-7210-01-CMP-013	B21	BRD-K09787262-001-02-7	2.30947	5.0	DMSO
C-7210-01-CMP-013	B22	BRD-K56810756-003-07-7	0.592825	5.0	DMSO
C-7210-01-CMP-013	B23	BRD-K87158025-003-08-7	1.7810499999999996	5.0	DMSO
C-7210-01-CMP-013	B24	BRD-A18992208-003-02-7	3.24094	5.0	DMSO
C-7210-01-CMP-013	C01	BRD-A54139254-001-09-2	1.474	5.0	DMSO
C-7210-01-CMP-013	C02	BRD-K44432556-001-05-5	2.0774455	5.0	DMSO
C-7210-01-CMP-013	C03				DMSO
C-7210-01-CMP-013	C04	BRD-K36740062-001-06-6	2.5381465	5.0	DMSO
C-7210-01-CMP-013	C05	BRD-K27539181-001-08-5	2.63797	5.0	DMSO
C-7210-01-CMP-013	C06				DMSO
C-7210-01-CMP-013	C07	BRD-K51265828-001-01-0	1.8974765	5.0	DMSO
C-7210-01-CMP-013	C08	BRD-K51899933-001-02-6	2.66058	5.0	DMSO
C-7210-01-CMP-013	C09	BRD-K23363278-001-02-1	2.17267	5.0	DMSO
C-7210-01-CMP-013	C10	BRD-K90497590-001-05-9	2.3022525	5.0	DMSO
C-7210-01-CMP-013	C11	BRD-K69877120-001-01-7	1.753	5.0	DMSO
C-7210-01-CMP-013	C12				DMSO
C-7210-01-CMP-013	C13	BRD-K90747162-001-01-4	2.29724	5.0	DMSO
C-7210-01-CMP-013	C14	BRD-K81405859-300-01-4	2.986795	5.0	DMSO
C-7210-01-CMP-013	C15				DMSO
C-7210-01-CMP-013	C16	BRD-K51662849-001-05-4	1.9423035	5.0	DMSO
C-7210-01-CMP-013	C17	BRD-A65597028-003-08-1	1.3456971654478496	4.970954983332287	DMSO
C-7210-01-CMP-013	C18				DMSO
C-7210-01-CMP-013	C19	BRD-K24282351-001-01-4	1.822047	5.0	DMSO
C-7210-01-CMP-013	C20	BRD-K44227013-001-08-0	2.6627975	5.0	DMSO
C-7210-01-CMP-013	C21				DMSO
C-7210-01-CMP-013	C22	BRD-K01824976-300-02-9	2.722155	5.0	DMSO
C-7210-01-CMP-013	C23	BRD-K50495309-001-02-0	1.867023	5.0	DMSO
C-7210-01-CMP-013	C24	BRD-K59058747-001-19-1	0.8159749999999999	5.0	DMSO
C-7210-01-CMP-013	D01	BRD-K62949423-001-03-1	1.35667	5.0	DMSO
C-7210-01-CMP-013	D02	BRD-K22482860-001-20-6	0.4705725	5.0	DMSO
C-7210-01-CMP-013	D03	BRD-K68143200-001-11-7	1.551945	5.0	DMSO
C-7210-01-CMP-013	D04	BRD-K35498378-001-06-1	1.276128	5.0	DMSO
C-7210-01-CMP-013	D05	BRD-K37764012-001-03-3	2.45312	5.0	DMSO
C-7210-01-CMP-013	D06	BRD-K98357249-001-02-9	2.868404	5.0	DMSO
C-7210-01-CMP-013	D07	BRD-K73319509-001-08-0	1.8619165	5.0	DMSO
C-7210-01-CMP-013	D08	BRD-K58550667-001-08-7	1.95753	5.0	DMSO
C-7210-01-CMP-013	D09	BRD-K29530284-001-06-2	1.491467	5.0	DMSO
C-7210-01-CMP-013	D10	BRD-K37864785-001-01-0	1.98766	5.0	DMSO
C-7210-01-CMP-013	D11	BRD-K42191735-001-08-7	2.0519675	5.0	DMSO
C-7210-01-CMP-013	D12	BRD-K97181089-003-24-7	1.33044	5.0	DMSO
C-7210-01-CMP-013	D13	BRD-K75748943-300-01-3	2.276095	5.0	DMSO
C-7210-01-CMP-013	D14				DMSO
C-7210-01-CMP-013	D15				DMSO
C-7210-01-CMP-013	D16	BRD-K15179513-001-04-2	2.267893	5.0	DMSO
C-7210-01-CMP-013	D17	BRD-A72351335-001-04-5	1.9126705	5.0	DMSO
C-7210-01-CMP-013	D18	BRD-K37385792-003-02-1	2.675175	5.0	DMSO
C-7210-01-CMP-013	D19	BRD-A72483914-001-03-7	1.897261	5.0	DMSO
C-7210-01-CMP-013	D20	BRD-K69122748-001-10-1	1.841469	5.0	DMSO
C-7210-01-CMP-013	D21				DMSO
C-7210-01-CMP-013	D22				DMSO
C-7210-01-CMP-013	D23	BRD-K36927236-001-36-7	2.47002	5.0	DMSO
C-7210-01-CMP-013	D24	BRD-K31170746-001-01-6	1.036162	5.0	DMSO
C-7210-01-CMP-013	E01	BRD-K57708067-001-01-3	2.4377515	5.0	DMSO
C-7210-01-CMP-013	E02	BRD-A48180038-003-24-3	1.689635	5.0	DMSO
C-7210-01-CMP-013	E03	BRD-K64054020-001-02-7	0.35246508	1.0	DMSO
C-7210-01-CMP-013	E04	BRD-K91456750-001-01-9	2.057454	5.0	DMSO
C-7210-01-CMP-013	E05	BRD-K07881437-001-03-8	2.372774	5.0	DMSO
C-7210-01-CMP-013	E06	BRD-K23363278-001-02-1	2.17267	5.0	DMSO
C-7210-01-CMP-013	E07				DMSO
C-7210-01-CMP-013	E08	BRD-K02490038-236-03-8	3.323939	5.0	DMSO
C-7210-01-CMP-013	E09	BRD-K54330070-001-19-6	1.6567155	5.0	DMSO
C-7210-01-CMP-013	E10	BRD-K25412176-001-01-9	2.136615	5.0	DMSO
C-7210-01-CMP-013	E11	BRD-K03155172-001-03-0	1.963905	5.0	DMSO
C-7210-01-CMP-013	E12	BRD-K07442505-001-03-6	2.027365	5.0	DMSO
C-7210-01-CMP-013	E13	BRD-K64800655-001-09-0	1.8074085	5.0	DMSO
C-7210-01-CMP-013	E14				DMSO
C-7210-01-CMP-013	E15	BRD-K26514105-001-01-7	1.52696	5.0	DMSO
C-7210-01-CMP-013	E16	BRD-K21528677-001-04-4	2.0825365	5.0	DMSO
C-7210-01-CMP-013	E17				DMSO
C-7210-01-CMP-013	E18	BRD-K91188791-001-17-5	1.7121525	5.0	DMSO
C-7210-01-CMP-013	E19	BRD-K32821942-001-22-1	1.386315	5.0	DMSO
C-7210-01-CMP-013	E20	BRD-K33882852-003-02-8	2.134465	5.0	DMSO
C-7210-01-CMP-013	E21	BRD-K64890080-001-02-1	2.6082718	5.0	DMSO
C-7210-01-CMP-013	E22	BRD-K91535048-001-01-2	1.9523905	5.0	DMSO
C-7210-01-CMP-013	E23	BRD-K67915505-001-01-2	1.896938	5.0	DMSO
C-7210-01-CMP-013	E24				DMSO
C-7210-01-CMP-013	F01				DMSO
C-7210-01-CMP-013	F02	BRD-K12102668-001-25-5	1.4916985	5.0	DMSO
C-7210-01-CMP-013	F03				DMSO
C-7210-01-CMP-013	F04	BRD-K49223707-001-01-0	0.931456	5.0	DMSO
C-7210-01-CMP-013	F05	BRD-K91822704-003-07-2	1.3183900000000002	5.0	DMSO
C-7210-01-CMP-013	F06				DMSO
C-7210-01-CMP-013	F07	BRD-K68164687-001-01-6	2.538415	5.0	DMSO
C-7210-01-CMP-013	F08	BRD-A00827783-001-24-6	1.271213	5.0	DMSO
C-7210-01-CMP-013	F09				DMSO
C-7210-01-CMP-013	F10	BRD-K59632282-052-03-1	2.60286	5.0	DMSO
C-7210-01-CMP-013	F11	BRD-K50055394-001-03-6	2.08438	5.0	DMSO
